Date/Time,Year,Month,Day,Time,Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill
2012-04-01 00:00,2012,4,1,00:00,4.3,2.3,87.0,30.0,28.0,12.9,99.88,,
2012-04-01 01:00,2012,4,1,01:00,4.4,2.2,86.0,30.0,17.0,8.0,99.94,,
2012-04-01 02:00,2012,4,1,02:00,3.8,1.6,86.0,30.0,26.0,6.4,100.0,,
2012-04-01 03:00,2012,4,1,03:00,2.8,0.7,86.0,29.0,39.0,8.0,100.1,,
2012-04-01 04:00,2012,4,1,04:00,2.4,0.4,87.0,29.0,30.0,9.7,100.23,,
2012-04-01 05:00,2012,4,1,05:00,3.0,0.9,86.0,29.0,35.0,9.7,100.37,,
2012-04-01 06:00,2012,4,1,06:00,3.7,1.7,87.0,27.0,30.0,12.9,100.55,,
2012-04-01 07:00,2012,4,1,07:00,4.7,1.3,79.0,26.0,24.0,16.1,100.74,,
2012-04-01 08:00,2012,4,1,08:00,5.3,1.3,75.0,21.0,20.0,24.1,100.94,,
2012-04-01 09:00,2012,4,1,09:00,5.9,1.9,75.0,17.0,13.0,24.1,101.07,,
2012-04-01 10:00,2012,4,1,10:00,7.0,1.5,68.0,22.0,7.0,32.2,101.15,,
2012-04-01 11:00,2012,4,1,11:00,7.8,0.7,61.0,23.0,6.0,32.2,101.28,,
2012-04-01 12:00,2012,4,1,12:00,9.1,1.9,61.0,23.0,4.0,32.2,101.35,,
2012-04-01 13:00,2012,4,1,13:00,9.5,0.3,53.0,23.0,9.0,32.2,101.41,,
2012-04-01 14:00,2012,4,1,14:00,9.8,-1.3,46.0,33.0,4.0,32.2,101.48,,
2012-04-01 15:00,2012,4,1,15:00,10.5,0.2,49.0,24.0,7.0,32.2,101.56,,
2012-04-01 16:00,2012,4,1,16:00,9.5,2.1,60.0,22.0,19.0,32.2,101.59,,
2012-04-01 17:00,2012,4,1,17:00,8.7,2.4,65.0,19.0,26.0,32.2,101.69,,
2012-04-01 18:00,2012,4,1,18:00,8.5,0.9,59.0,18.0,15.0,32.2,101.77,,
2012-04-01 19:00,2012,4,1,19:00,8.4,1.6,62.0,15.0,13.0,32.2,101.82,,
2012-04-01 20:00,2012,4,1,20:00,7.9,2.5,69.0,13.0,11.0,32.2,101.91,,
2012-04-01 21:00,2012,4,1,21:00,7.2,3.2,76.0,10.0,13.0,32.2,101.98,,
2012-04-01 22:00,2012,4,1,22:00,6.6,3.1,78.0,10.0,19.0,32.2,102.01,,
2012-04-01 23:00,2012,4,1,23:00,6.8,3.5,79.0,10.0,13.0,32.2,102.08,,
2012-04-02 00:00,2012,4,2,00:00,7.2,2.9,74.0,13.0,22.0,32.2,102.11,,
2012-04-02 01:00,2012,4,2,01:00,7.1,2.8,74.0,11.0,22.0,32.2,102.11,,
2012-04-02 02:00,2012,4,2,02:00,7.3,3.2,75.0,11.0,17.0,32.2,102.12,,
2012-04-02 03:00,2012,4,2,03:00,7.4,3.0,74.0,14.0,20.0,32.2,102.13,,
